weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,AmsterTime_R1,AmsterTime_R5,AmsterTime_R10,AmsterTime_map_memory,AmsterTime_total_memory,AmsterTime_matching_lat,AmsterTime_total_cpu_lat_bs1,AmsterTime_total_gpu_lat_bs1
ResNet34_ConvAP_agg_0.75_sparsity_0.262_R1_0.918.ckpt,ResNet34_ConvAP,0.262,,7561830400.0,83.198486328125,276.3090848922729,33.181726932525635,,,,,,10.769224166870115,350.6839394569397,44.06391382217407,,,,,,1.313018798828125,277.6221036911011,34.49474573135376
ResNet34_ConvAP_agg_0.75_sparsity_0.290_R1_0.914.ckpt,ResNet34_ConvAP,0.29,,7561830400.0,83.198486328125,268.2659149169922,32.840025424957275,,,,,,9.92257595062256,354.80865240097046,42.69652366638184,,,,,,1.291060447692871,269.55697536468506,34.13108587265015
ResNet34_ConvAP_agg_0.75_sparsity_0.322_R1_0.915.ckpt,ResNet34_ConvAP,0.322,,7561830400.0,83.198486328125,260.94590425491333,34.701502323150635,,,,,,8.90352725982666,334.83335971832275,44.192326068878174,,,,,,1.2574434280395508,262.2033476829529,35.958945751190186
ResNet34_ConvAP_agg_0.75_sparsity_0.349_R1_0.915.ckpt,ResNet34_ConvAP,0.349,,7561830400.0,83.198486328125,253.85061502456665,33.22422504425049,,,,,,7.979059219360352,338.7724995613098,41.13583564758301,,,,,,1.159501075744629,255.01011610031125,34.38372611999512
ResNet34_ConvAP_agg_0.75_sparsity_0.374_R1_0.916.ckpt,ResNet34_ConvAP,0.374,,7561830400.0,83.198486328125,248.10627698898315,32.60037899017334,,,,,,7.089138031005859,346.22381925582886,39.48972225189209,,,,,,0.9918451309204104,249.0981221199036,33.59222412109375
ResNet34_ConvAP_agg_0.75_sparsity_0.403_R1_0.912.ckpt,ResNet34_ConvAP,0.403,,7561830400.0,83.198486328125,240.6850814819336,35.79704761505127,,,,,,6.196999549865723,333.0119252204895,41.73991680145264,,,,,,0.8661985397338867,241.55128002166748,36.66324615478515
ResNet34_ConvAP_agg_0.75_sparsity_0.429_R1_0.911.ckpt,ResNet34_ConvAP,0.429,,7561830400.0,83.198486328125,234.18372869491577,31.531715393066406,,,,,,5.26573657989502,322.3600506782532,36.87056303024292,,,,,,0.7637262344360352,234.9474549293518,32.29544162750244
ResNet34_ConvAP_agg_0.75_sparsity_0.441_R1_0.911.ckpt,ResNet34_ConvAP,0.441,,7561830400.0,83.198486328125,230.939781665802,25.976336002349857,,,,,,4.3643951416015625,323.7566828727722,29.90880012512207,,,,,,0.579380989074707,231.5191626548767,26.55571699142456
ResNet34_GeM_agg_0.00_sparsity_0.035_R1_0.916.ckpt,ResNet34_GeM,0.035,,7510196224.0,85.20239639282227,331.0619354248047,43.933188915252686,,,,,,8.908438682556152,394.5727467536926,53.99717092514038,,,,,,1.2387752532958984,332.3007106781006,45.17196416854858
ResNet34_GeM_agg_0.00_sparsity_0.067_R1_0.917.ckpt,ResNet34_GeM,0.067,,7510196224.0,85.20239639282227,323.7456083297729,44.13386583328247,,,,,,8.90207290649414,387.904417514801,53.083646297454834,,,,,,1.3645410537719729,325.1101493835449,45.49840688705444
ResNet34_GeM_agg_0.00_sparsity_0.100_R1_0.918.ckpt,ResNet34_GeM,0.1,,7510196224.0,85.20239639282227,315.5410051345825,44.146728515625,,,,,,8.865189552307129,381.6072225570678,53.56398820877075,,,,,,1.2250185012817385,316.76602363586426,45.37174701690674
ResNet34_GeM_agg_0.00_sparsity_0.131_R1_0.916.ckpt,ResNet34_GeM,0.131,,7510196224.0,85.20239639282227,307.26174116134644,41.96070432662964,,,,,,8.872771263122559,373.56358766555786,50.89538097381592,,,,,,0.8281469345092773,308.0898880958557,42.78885126113891
ResNet34_GeM_agg_0.00_sparsity_0.164_R1_0.913.ckpt,ResNet34_GeM,0.164,,7510196224.0,85.20239639282227,298.21739196777344,39.09939527511597,,,,,,8.95998477935791,366.403603553772,48.383986949920654,,,,,,1.1078596115112305,299.32525157928467,40.2072548866272
ResNet34_GeM_agg_0.00_sparsity_0.191_R1_0.915.ckpt,ResNet34_GeM,0.191,,7510196224.0,85.20239639282227,290.6653046607971,38.11272382736206,,,,,,8.863639831542969,378.0100464820862,46.73806428909302,,,,,,1.1736154556274414,291.83892011642456,39.2863392829895
ResNet34_GeM_agg_0.00_sparsity_0.220_R1_0.916.ckpt,ResNet34_GeM,0.22,,7510196224.0,85.20239639282227,284.0880036354065,37.31848001480103,,,,,,9.01625156402588,365.8494472503662,46.46711349487305,,,,,,1.152634620666504,285.240638256073,38.47111463546753
ResNet34_GeM_agg_0.00_sparsity_0.251_R1_0.913.ckpt,ResNet34_GeM,0.251,,7510196224.0,85.20239639282227,275.7782340049744,33.54004621505737,,,,,,9.000325202941895,348.3713746070862,42.42448806762695,,,,,,1.1636734008789062,276.94190740585327,34.70371961593628
ResNet34_GeM_agg_0.00_sparsity_0.278_R1_0.912.ckpt,ResNet34_GeM,0.278,,7510196224.0,85.20239639282227,268.56672763824463,32.74909257888794,,,,,,8.99348258972168,357.34472274780273,42.24272966384888,,,,,,1.2309074401855469,269.7976350784302,33.980000019073486
ResNet34_GeM_agg_0.00_sparsity_0.308_R1_0.906.ckpt,ResNet34_GeM,0.308,,7510196224.0,85.20239639282227,260.91344356536865,35.063374042510986,,,,,,8.980917930603027,335.43297052383423,44.92534399032593,,,,,,1.0307073593139648,261.9441509246826,36.09408140182495
ResNet34_GeM_agg_0.00_sparsity_0.335_R1_0.907.ckpt,ResNet34_GeM,0.335,,7510196224.0,85.20239639282227,254.47157621383664,33.61072540283203,,,,,,9.032416343688965,354.7922253608704,42.72447824478149,,,,,,1.1960506439208984,255.6676268577575,34.80677604675293
ResNet34_GeM_agg_0.00_sparsity_0.359_R1_0.907.ckpt,ResNet34_GeM,0.359,,7510196224.0,85.20239639282227,248.0107426643372,32.79460668563843,,,,,,8.995532989501953,331.92474842071533,41.72375202178955,,,,,,1.1472463607788086,249.157989025116,33.94185304641724
ResNet34_GeM_agg_0.00_sparsity_0.387_R1_0.906.ckpt,ResNet34_GeM,0.387,,7510196224.0,85.20239639282227,241.7508363723755,36.33217811584473,,,,,,9.013700485229492,332.8027009963989,44.96669769287109,,,,,,1.2134075164794922,242.96424388885492,37.54558563232422
ResNet34_GeM_agg_0.00_sparsity_0.412_R1_0.909.ckpt,ResNet34_GeM,0.412,,7510196224.0,85.20239639282227,234.8050832748413,31.927657127380368,,,,,,9.00869369506836,338.31270933151245,40.88895320892334,,,,,,1.1711835861206057,235.9762668609619,33.09884071350098
